"city","state","postalcode","country","creditlimit","productcode","productline","productscale","quantityinstock","buyprice","msrp","productrating","customernumber"
"London",,"WA1 1DP","UK","43300.00","S24_2887","Classic Cars","1:24","1452","72.82","117.44","5","489"
"Nantes",,"44000","France","118200.00","S18_2238","Classic Cars","1:18","4724","101.51","163.73","2","119"
"Montréal","Québec","H1J 1C3","Canada","48700.00","S12_1666","Trucks and Buses","1:12","1579","77.90","136.67","2","233"
"Nantes",,"44000","France","118200.00","S18_2319","Trucks and Buses","1:18","8258","74.86","122.73","3","119"
"Nantes",,"44000","France","118200.00","S18_2625","Motorcycles","1:18","4357","24.23","60.57","4","119"
"London",,"WA1 1DP","UK","43300.00","S10_4757","Classic Cars","1:10","3252","85.68","136.00","1","489"
"London",,"WA1 1DP","UK","43300.00","S18_3029","Ships","1:18","4259","51.61","86.02","3","489"
"Montréal","Québec","H1J 1C3","Canada","48700.00","S10_4757","Classic Cars","1:10","3252","85.68","136.00","2","233"
"Montréal","Québec","H1J 1C3","Canada","48700.00","S18_1129","Classic Cars","1:18","3975","83.51","141.54","2","233"
"Nantes",,"44000","France","118200.00","S24_1785","Planes","1:24","3627","66.74","109.42","4","119"
"Nantes",,"44000","France","118200.00","S32_4289","Vintage Cars","1:32","136","33.02","68.79","5","119"
"Nantes",,"44000","France","118200.00","S700_4002","Planes","1:700","8820","36.27","74.03","5","119"
"Nantes",,"44000","France","118200.00","S12_1099","Classic Cars","1:12","68","95.34","194.57","4","119"
"London",,"WA1 1DP","UK","43300.00","S18_3856","Vintage Cars","1:18","2378","64.58","105.87","3","489"
"London",,"WA1 1DP","UK","43300.00","S18_4409","Vintage Cars","1:18","6553","43.26","92.03","3","489"
"London",,"WA1 1DP","UK","43300.00","S24_3816","Vintage Cars","1:24","6621","48.64","83.86","3","489"
"London",,"WA1 1DP","UK","43300.00","S700_2047","Ships","1:700","3501","39.83","90.52","3","489"
"Montréal","Québec","H1J 1C3","Canada","48700.00","S18_4668","Vintage Cars","1:18","6645","23.14","50.31","3","233"
"Montréal","Québec","H1J 1C3","Canada","48700.00","S24_2011","Ships","1:24","1898","82.34","122.89","3","233"
"Montréal","Québec","H1J 1C3","Canada","48700.00","S32_3522","Trucks and Buses","1:32","814","33.61","64.64","2","233"
"Montréal","Québec","H1J 1C3","Canada","48700.00","S700_1138","Ships","1:700","1897","34.00","66.67","2","233"
"London",,"WA1 1DP","UK","43300.00","S18_4933","Classic Cars","1:18","3209","34.21","71.27","5","489"
"London",,"WA1 1DP","UK","43300.00","S24_3420","Vintage Cars","1:24","2902","26.30","65.75","3","489"
"London",,"WA1 1DP","UK","43300.00","S72_1253","Planes","1:72","4857","32.77","49.66","4","489"
"London",,"WA1 1DP","UK","43300.00","S18_1662","Planes","1:18","5330","77.27","157.69","2","489"
